urn,dhlabid,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
URN:NBN:no-nb_digibok_2006082200056,100000016.0,Dagbøker og breve . [ 1 ] : Optegnelser fra Ungdomsaarene / Camilla Collett,"Collett , Camilla / Amundsen , Leiv / Collett , P. J.",oai:nb.bibsys.no:998020071394702202,b0647504cb2bb9b0190be29e75574ee6,,Oslo,19260101.0,1926.0,Gyldendal,nob,norske / dagbøker / 1800-tallet,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006082300030,100000019.0,Aulestadbreve til Bergliot Ibsen,"Bjørnson , Bjørnstjerne",oai:nb.bibsys.no:999322807734702202,352b1aeeac5625bd70162452258af27a,,Kristiania,19110101.0,1911.0,Gyldendal,nob,bjørnson / bjørnstjerne / norske / brev,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006082100032,100000479.0,Vort rige : roman,"Bojer , Johan",oai:nb.bibsys.no:999324265814702202,081fac404e40e5bb310c2dca4dd31887,,Kristiania,19080101.0,1908.0,"Gyldendalske Boghandel, Nordisk Forlag",nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006111600052,100000670.0,Janicke Woltmann : Interieurer 1749-1801,"Koren-Wiberg , Christian",oai:nb.bibsys.no:999416110004702202,9cba62fcb90dede50626d1d563aab12c,,Kristiania,19050101.0,1905.0,Aschehoug,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006111600058,100000676.0,Jakob og Kristoffer : en Tyvekomedie i 4 Akter,"Egge , Peter",oai:nb.bibsys.no:999515856224702202,989b8d7a720f20bc07867f79deab7b9f,,Kjøbenhavn,19000101.0,1900.0,Gyldendal,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112000001,100000842.0,De graa Haar : nye Folkelivsskildringer,"Egge , Peter",oai:nb.bibsys.no:999515841624702202,131373830e1284f01809acd84cff247f,,Kjøbenhavn ; Kristiania,19040101.0,1904.0,Gyldendal,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112801012,100001227.0,Vor gamle bondekultur,"Visted , Kristofer",oai:nb.bibsys.no:998311726654702202,4e706b21bd32cc5828961bad65a51d5d,,Kristiania,19080101.0,1908.0,Cappelen,nob,Norge / Kulturhistorie / kulturhistorie / norge / bønder / kunst / diktning / fest / arbeid,,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112801020,100001235.0,Den gamle bygd og den nye : Den gamle bygd,"Christensen , Hjalmar",oai:nb.bibsys.no:999507199784702202,85c09b70ce7eb197cc74abf3f1ec3792,,Kristiania,19130101.0,1913.0,Aschehoug,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112900013,100001253.0,Artikler og taler . B. 2,"Bjørnson , Bjørnstjerne / Collin , Chr . / Eitrem , H. ( Hans )",oai:nb.bibsys.no:999306282684702202,11002c8ef645fccab18111c1595b751a,,Kristiania og Kjøbenhavn,19130101.0,1913.0,"Gyldendalske Boghandel, Nordisk Forlag",nob,norsk / litteratur / artiklar / talar,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901010,100001277.0,"Dronning Hortense : Napoleon den førstes datter , Napoleon den tredies moder","Tschudi , Clara",oai:nb.bibsys.no:998902159444702202,57fe4eb6b5ad97f6dc0618867b0fe2b8,,[Kristiania],19130101.0,1913.0,Gyldendalske boghandel,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901020,100001285.0,Billedhuggerkunsten i Norge under Sverreætten,"Fett , Harry",oai:nb.bibsys.no:998621607234702202,ad3031229054e9fdfc94393e629bb699,,,19080101.0,1908.0,Cammermeyer,nob,Billedhuggerkunst / Billedhuggere / Norge / Middelalder / Skulpturer / Skulptur / kunst / skulptur / middelalderen / billedhuggerkunst,730.9481,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901027,100001292.0,Fimbulvinter : fortælling,"Falkberget , Johan",oai:nb.bibsys.no:999504846524702202,b311f9b6b6c1332a7be2d774fcdb02ea,,Kristiania,19110101.0,1911.0,Aschehoug,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901041,100001303.0,Norsk folkedigtning : med opskrifter fra Sophus Bugges utrykte samlinger . 1 : Norske eventyr og sagn,"Berge , Rikard / Bugge , Sophus / Berge , Johanna Bugge",oai:nb.bibsys.no:997521502434702202,8167a7940fe567db10e2571ab652031c,,Kristiania,19090101.0,1909.0,Gyldendal,mul / nob / nno,"Eventyr, Norske / eventyr / folkeeventyr / sagn / folkedikting",398.209481,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901044,100001305.0,I lære : fortælling,"Elster , Kristian",oai:nb.bibsys.no:999108763394702202,af71b36e81d6ee3d5d9d343484101163,,Kristiania,19110101.0,1911.0,Aschehoug,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901048,100001308.0,Sproglige og historiske afhandlinger viede Sophus Bugges minde : med tillæg To ungdomsbreve fra Sophus Bugge : Fortegnelse over Sophus Bugges trykte arbeider,"Bugge , Sophus",oai:nb.bibsys.no:999212724564702202,b6466d4ba83cd67cf41dec89b5d9c4ba,,Kristiania,19080101.0,1908.0,Aschehoug,nob,språk / historie / norge / festskrifter / lingvistikk / essays / norden / historie / språkvitenskap,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2006112901050,100001310.0,Fortællinger fra folkelivet . B. 1,"Hilditch , Jacob",oai:nb.bibsys.no:999808747694702202,6085eece437a269634773ba423177a80,,Kristiania,19080101.0,1908.0,Gyldendal,nob,,,fiction,Skjønnlitteratur,digibok,nb,20060101
